model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,0.001,0.05,6,8,0.9452335497790696,0.9044877864954958
LSPIN,lspin_tf,0.001,0.05,6,9,0.9246221651710778,0.8673198847478916
LSPIN,lspin_tf,0.001,0.05,7,8,0.9513901745977004,0.9155078730848442
LSPIN,lspin_tf,0.001,0.05,7,9,0.951301537447886,0.9066824005670334
LSPIN,lspin_tf,0.001,0.05,8,9,0.9508607224298006,0.9130407720589716
LSPIN,lspin_tf,0.0015,0.1,0,1,0.9033748332658044,0.8533364621174904
LSPIN,lspin_tf,0.0015,0.1,0,2,0.9517423716442992,0.9191096096624052
LSPIN,lspin_tf,0.0015,0.1,0,3,0.9506637646844774,0.9186857210822338
LSPIN,lspin_tf,0.0015,0.1,0,4,0.961240948494952,0.934551472558422
LSPIN,lspin_tf,0.0015,0.1,0,5,0.8705451509488432,0.8424721818602051
LSPIN,lspin_tf,0.0015,0.1,0,6,0.9333232892774114,0.9002070147378787
LSPIN,lspin_tf,0.0015,0.1,0,7,0.9751735032680748,0.9531624617325856
LSPIN,lspin_tf,0.0015,0.1,0,8,0.8834021897768737,0.8350922724129791
LSPIN,lspin_tf,0.0015,0.1,0,9,0.9580570464711908,0.9400468652115788
LSPIN,lspin_tf,0.0015,0.1,1,2,0.950941080882136,0.9190481283936942
LSPIN,lspin_tf,0.0015,0.1,1,3,0.9516496173904962,0.9205805386579384
LSPIN,lspin_tf,0.0015,0.1,1,4,0.9411087576075052,0.8985442479112031
LSPIN,lspin_tf,0.0015,0.1,1,5,0.958570394006196,0.9219086372988612
LSPIN,lspin_tf,0.0015,0.1,1,6,0.9604067494917568,0.9175482626327872
LSPIN,lspin_tf,0.0015,0.1,1,7,0.9245174412358448,0.8680842364891941
LSPIN,lspin_tf,0.0015,0.1,1,8,0.855104331972196,0.8071123889199979
LSPIN,lspin_tf,0.0015,0.1,1,9,0.9445758552182132,0.8987943281662051
LSPIN,lspin_tf,0.0015,0.1,2,3,0.958524172462912,0.916876030821394
LSPIN,lspin_tf,0.0015,0.1,2,4,0.9689888272368036,0.932682488143431
LSPIN,lspin_tf,0.0015,0.1,2,5,0.916625718970397,0.8982417856977913
LSPIN,lspin_tf,0.0015,0.1,2,6,0.9493903174412052,0.9008378532333384
LSPIN,lspin_tf,0.0015,0.1,2,7,0.973403105495016,0.9399400351132824
LSPIN,lspin_tf,0.0015,0.1,2,8,0.881579679345765,0.8281110559591285
LSPIN,lspin_tf,0.0015,0.1,2,9,0.9936668860538768,0.9793140208859826
LSPIN,lspin_tf,0.0015,0.1,3,4,0.9893066264432516,0.9780677151114504
