model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,0.25,0.0011,0.2,400129,6,0.7155369383092155,0.7861230329041488,1,429.20849609375,0.9931941320710744,928.0,899.0,679.2575481025578
LSPIN,lspin_tf,0.25,0.0011,0.2,400130,7,0.7211538461538461,0.8133047210300429,1,446.7528991699219,0.9931814535329104,999.0,922.0,719.7448932822867
LSPIN,lspin_tf,0.25,0.0011,0.2,400131,8,0.7068735719725818,0.7610872675250357,1,386.7876586914063,0.9919652112571652,856.0,793.0,609.2568046976257
LSPIN,lspin_tf,0.25,0.0011,0.2,400132,9,0.7060167555217061,0.7496423462088698,0,352.3938293457031,0.993897094259462,1307.0,879.0,698.844986005181
LSPIN,lspin_tf,0.25,0.0007,0.2,440123,0,0.68497715156131,0.7796852646638054,0,724.2046508789062,0.996925698366364,1982.0,1512.0,1181.2036218347544
LSPIN,lspin_tf,0.25,0.0007,0.2,440124,1,0.7184881949733435,0.7982832618025751,1,642.8610229492188,0.9959115024179476,1397.0,1330.0,965.3562873150516
LSPIN,lspin_tf,0.25,0.0007,0.2,440125,2,0.7043983244478293,0.7889842632331903,1,727.478759765625,0.9948599235406356,1468.0,1383.0,1099.8203463369543
LSPIN,lspin_tf,0.25,0.0007,0.2,440126,3,0.7103008377760853,0.7997138769670958,1,685.3513793945312,0.996166195235368,1483.0,1391.0,1075.4270659732767
LSPIN,lspin_tf,0.25,0.0007,0.2,440127,4,0.7271515613099772,0.7696709585121603,1,628.4131469726562,0.9955666138181288,1428.0,1331.0,1018.99190860927
LSPIN,lspin_tf,0.25,0.0007,0.2,440128,5,0.6976389946686976,0.796137339055794,2,696.8648681640625,0.9936733507907304,1308.0,1273.0,1027.6443363531057
LSPIN,lspin_tf,0.25,0.0007,0.2,440129,6,0.6727913175932978,0.7732474964234621,0,602.8031005859375,0.9961064367241728,1763.0,1391.0,1078.569104628137
LSPIN,lspin_tf,0.25,0.0007,0.2,440130,7,0.7141089108910891,0.7796852646638054,1,836.0849609375,0.9965418582865828,1692.0,1590.0,1303.083864751415
LSPIN,lspin_tf,0.25,0.0007,0.2,440131,8,0.7265803503427266,0.8004291845493562,1,634.185302734375,0.9945272226743924,1407.0,1331.0,1035.9528587554307
LSPIN,lspin_tf,0.25,0.0007,0.2,440132,9,0.6916412795125666,0.7968526466380543,0,799.0772094726562,0.9968954917277104,2115.0,1751.0,1361.5985245634213
Concrete,concrete,0.1,0.0025,0.0,480123,0,0.7141089108910891,0.7925608011444921,1,285.1968994140625,0.9867516426019888,975.0,715.0,626.6738476105504
Concrete,concrete,0.1,0.0025,0.0,480124,1,0.7025894897182026,0.8240343347639485,1,417.0733642578125,0.9921562732203466,1251.0,1001.0,868.2188748160424
Concrete,concrete,0.1,0.0025,0.0,480125,2,0.6833587204874334,0.7918454935622318,1,444.2278137207031,0.9924717707961872,1284.0,1038.0,905.8812688632736
Concrete,concrete,0.1,0.0025,0.0,480126,3,0.7232482863670983,0.7582260371959942,1,263.104248046875,0.981227154085253,982.0,689.0,616.3076112431345
Concrete,concrete,0.1,0.0025,0.0,480127,4,0.7095392231530845,0.7725321888412017,4,367.729736328125,0.983813974790304,947.0,818.0,711.7787500713058
