histology,n_test,cindex,model_family,lambda_sparse,lambda_sample_smooth,seed
kidneychromophobe,19,0.704225352112676,LSPIN,0.0015,0.2,370131
kidneyclearcellrenalcarcinoma,156,0.6799311679931168,LSPIN,0.0015,0.2,370131
kidneypapillaryrenalcellcarcinoma,84,0.7542242703533026,LSPIN,0.0015,0.2,370131
kidneychromophobe,19,0.7183098591549296,LSPIN,0.0015,0.2,370132
kidneyclearcellrenalcarcinoma,156,0.6728328672832867,LSPIN,0.0015,0.2,370132
kidneypapillaryrenalcellcarcinoma,84,0.7649769585253456,LSPIN,0.0015,0.2,370132
kidneychromophobe,19,0.6901408450704225,LSPIN,0.001,0.2,410123
kidneyclearcellrenalcarcinoma,156,0.6711120671112067,LSPIN,0.001,0.2,410123
kidneypapillaryrenalcellcarcinoma,84,0.7711213517665131,LSPIN,0.001,0.2,410123
kidneychromophobe,19,0.4929577464788732,LSPIN,0.001,0.2,410124
kidneyclearcellrenalcarcinoma,156,0.6562701656270166,LSPIN,0.001,0.2,410124
kidneypapillaryrenalcellcarcinoma,84,0.717357910906298,LSPIN,0.001,0.2,410124
kidneychromophobe,19,0.6901408450704225,LSPIN,0.001,0.2,410125
kidneyclearcellrenalcarcinoma,156,0.6893955689395569,LSPIN,0.001,0.2,410125
kidneypapillaryrenalcellcarcinoma,84,0.8202764976958525,LSPIN,0.001,0.2,410125
kidneychromophobe,19,0.676056338028169,LSPIN,0.001,0.2,410126
kidneyclearcellrenalcarcinoma,156,0.6614325661432566,LSPIN,0.001,0.2,410126
