model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,global_cfg_idx,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
L-Concrete,concrete,linear,0.00275,0.4,2,5,220,0.7979231244530596,3.3693625598387507,0.5180722891566265,2.8992189468379945,0.4157303370786517
L-Concrete,concrete,linear,0.00275,0.4,2,6,220,0.7706350188260886,3.4477198286722097,0.5365853658536586,3.1342907533383726,0.4651162790697674
L-Concrete,concrete,linear,0.00275,0.4,2,7,220,0.7516953194526718,2.977576215671454,0.4318181818181818,2.8992189468379945,0.4157303370786517
L-Concrete,concrete,linear,0.00275,0.4,3,4,220,0.7874479148237573,3.1342907533383726,0.4651162790697674,3.291005291005291,0.5
L-Concrete,concrete,linear,0.00275,0.4,3,5,220,0.7717852940130401,2.8208616780045355,0.4,3.3693625598387507,0.5180722891566265
L-Concrete,concrete,linear,0.00275,0.4,3,6,220,0.7813662998035903,3.055933484504913,0.4482758620689655,3.291005291005291,0.5
L-Concrete,concrete,linear,0.00275,0.4,3,7,220,0.8022908667652092,3.291005291005291,0.5,3.4477198286722097,0.5365853658536586
L-Concrete,concrete,linear,0.00275,0.4,4,5,220,0.7776913567435484,3.291005291005291,0.5,3.1342907533383726,0.4651162790697674
L-Concrete,concrete,linear,0.00275,0.4,4,6,220,0.8096195056129206,3.526077097505669,0.5555555555555556,3.212648022171832,0.4823529411764706
L-Concrete,concrete,linear,0.00275,0.4,4,7,220,0.7807573764876583,3.3693625598387507,0.5180722891566265,3.212648022171832,0.4823529411764706
L-Concrete,concrete,linear,0.00275,0.4,5,6,220,0.7659225023561593,3.291005291005291,0.5,3.212648022171832,0.4823529411764706
L-Concrete,concrete,linear,0.00275,0.4,5,7,220,0.7644096074718744,2.6641471403376165,0.3695652173913043,3.3693625598387507,0.5180722891566265
