histology,n_test,cindex,global_cfg_idx,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
infiltratingductalcarcinoma,220,0.6504091653027824,41,LSPIN,mlp,0.0035,0.1,410123
infiltratinglobularcarcinoma,60,0.6455026455026455,41,LSPIN,mlp,0.0035,0.1,410123
other,23,0.6216216216216216,41,LSPIN,mlp,0.0035,0.1,410123
infiltratingductalcarcinoma,220,0.6494271685761047,41,LSPIN,mlp,0.0035,0.1,410124
infiltratinglobularcarcinoma,60,0.6507936507936508,41,LSPIN,mlp,0.0035,0.1,410124
other,23,0.6216216216216216,41,LSPIN,mlp,0.0035,0.1,410124
infiltratingductalcarcinoma,220,0.6612111292962357,41,LSPIN,mlp,0.0035,0.1,410125
infiltratinglobularcarcinoma,60,0.5502645502645502,41,LSPIN,mlp,0.0035,0.1,410125
other,23,0.5675675675675675,41,LSPIN,mlp,0.0035,0.1,410125
infiltratingductalcarcinoma,220,0.6333878887070377,41,LSPIN,mlp,0.0035,0.1,410126
infiltratinglobularcarcinoma,60,0.4867724867724867,41,LSPIN,mlp,0.0035,0.1,410126
other,23,0.5675675675675675,41,LSPIN,mlp,0.0035,0.1,410126
infiltratingductalcarcinoma,220,0.5839607201309329,41,LSPIN,mlp,0.0035,0.1,410127
infiltratinglobularcarcinoma,60,0.4973544973544973,41,LSPIN,mlp,0.0035,0.1,410127
other,23,0.6216216216216216,41,LSPIN,mlp,0.0035,0.1,410127
infiltratingductalcarcinoma,220,0.6271685761047463,41,LSPIN,mlp,0.0035,0.1,410128
infiltratinglobularcarcinoma,60,0.5714285714285714,41,LSPIN,mlp,0.0035,0.1,410128
other,23,0.4864864864864865,41,LSPIN,mlp,0.0035,0.1,410128
infiltratingductalcarcinoma,220,0.6101472995090016,41,LSPIN,mlp,0.0035,0.1,410129
infiltratinglobularcarcinoma,60,0.6190476190476191,41,LSPIN,mlp,0.0035,0.1,410129
other,23,0.5405405405405406,41,LSPIN,mlp,0.0035,0.1,410129
infiltratingductalcarcinoma,220,0.5780687397708675,41,LSPIN,mlp,0.0035,0.1,410130
infiltratinglobularcarcinoma,60,0.6243386243386243,41,LSPIN,mlp,0.0035,0.1,410130
other,23,0.5945945945945946,41,LSPIN,mlp,0.0035,0.1,410130
infiltratingductalcarcinoma,220,0.611456628477905,45,LSPIN,mlp,0.0105,0.1,450123
infiltratinglobularcarcinoma,60,0.4126984126984127,45,LSPIN,mlp,0.0105,0.1,450123
other,23,0.6216216216216216,45,LSPIN,mlp,0.0105,0.1,450123
infiltratingductalcarcinoma,220,0.6553191489361702,45,LSPIN,mlp,0.0105,0.1,450124
infiltratinglobularcarcinoma,60,0.5714285714285714,45,LSPIN,mlp,0.0105,0.1,450124
other,23,0.5135135135135135,45,LSPIN,mlp,0.0105,0.1,450124
infiltratingductalcarcinoma,220,0.5816693944353519,45,LSPIN,mlp,0.0105,0.1,450125
infiltratinglobularcarcinoma,60,0.5767195767195767,45,LSPIN,mlp,0.0105,0.1,450125
other,23,0.5675675675675675,45,LSPIN,mlp,0.0105,0.1,450125
infiltratingductalcarcinoma,220,0.5980360065466448,45,LSPIN,mlp,0.0105,0.1,450126
infiltratinglobularcarcinoma,60,0.4179894179894179,45,LSPIN,mlp,0.0105,0.1,450126
other,23,0.6216216216216216,45,LSPIN,mlp,0.0105,0.1,450126
infiltratingductalcarcinoma,220,0.6333878887070377,45,LSPIN,mlp,0.0105,0.1,450127
infiltratinglobularcarcinoma,60,0.455026455026455,45,LSPIN,mlp,0.0105,0.1,450127
other,23,0.5675675675675675,45,LSPIN,mlp,0.0105,0.1,450127
infiltratingductalcarcinoma,220,0.6425531914893617,45,LSPIN,mlp,0.0105,0.1,450128
infiltratinglobularcarcinoma,60,0.582010582010582,45,LSPIN,mlp,0.0105,0.1,450128
other,23,0.5135135135135135,45,LSPIN,mlp,0.0105,0.1,450128
infiltratingductalcarcinoma,220,0.583633387888707,45,LSPIN,mlp,0.0105,0.1,450129
infiltratinglobularcarcinoma,60,0.5767195767195767,45,LSPIN,mlp,0.0105,0.1,450129
other,23,0.5945945945945946,45,LSPIN,mlp,0.0105,0.1,450129
infiltratingductalcarcinoma,220,0.6180032733224222,45,LSPIN,mlp,0.0105,0.1,450130
infiltratinglobularcarcinoma,60,0.5185185185185185,45,LSPIN,mlp,0.0105,0.1,450130
other,23,0.5945945945945946,45,LSPIN,mlp,0.0105,0.1,450130
infiltratingductalcarcinoma,220,0.6461538461538462,49,LSPIN,mlp,0.0035,0.2,490123
infiltratinglobularcarcinoma,60,0.5026455026455027,49,LSPIN,mlp,0.0035,0.2,490123
other,23,0.6216216216216216,49,LSPIN,mlp,0.0035,0.2,490123
infiltratingductalcarcinoma,220,0.5927986906710311,49,LSPIN,mlp,0.0035,0.2,490124
infiltratinglobularcarcinoma,60,0.544973544973545,49,LSPIN,mlp,0.0035,0.2,490124
other,23,0.5675675675675675,49,LSPIN,mlp,0.0035,0.2,490124
infiltratingductalcarcinoma,220,0.6563011456628478,49,LSPIN,mlp,0.0035,0.2,490125
infiltratinglobularcarcinoma,60,0.582010582010582,49,LSPIN,mlp,0.0035,0.2,490125
other,23,0.5135135135135135,49,LSPIN,mlp,0.0035,0.2,490125
infiltratingductalcarcinoma,220,0.6108019639934533,49,LSPIN,mlp,0.0035,0.2,490126
infiltratinglobularcarcinoma,60,0.5608465608465608,49,LSPIN,mlp,0.0035,0.2,490126
other,23,0.6216216216216216,49,LSPIN,mlp,0.0035,0.2,490126
infiltratingductalcarcinoma,220,0.6314238952536825,49,LSPIN,mlp,0.0035,0.2,490127
infiltratinglobularcarcinoma,60,0.5873015873015873,49,LSPIN,mlp,0.0035,0.2,490127
