histology,n_test,cindex,model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,seed
HNSC,150,0.5915021746403479,LSPIN,0.2,0.0006,0.15,150123
KICH,19,1.0,LSPIN,0.2,0.0006,0.15,150123
KIRC,158,0.6505197097470092,LSPIN,0.2,0.0006,0.15,150123
KIRP,85,0.8746223564954683,LSPIN,0.2,0.0006,0.15,150123
LGG,152,0.7613338328962158,LSPIN,0.2,0.0006,0.15,150123
LIHC,110,0.6517923823749067,LSPIN,0.2,0.0006,0.15,150123
LUAD,150,0.6413988275722661,LSPIN,0.2,0.0006,0.15,150123
LUSC,148,0.5452380952380952,LSPIN,0.2,0.0006,0.15,150123
MESO,25,0.7889273356401384,LSPIN,0.2,0.0006,0.15,150123
OV,112,0.530902004454343,LSPIN,0.2,0.0006,0.15,150123
PAAD,53,0.6590621039290241,LSPIN,0.2,0.0006,0.15,150123
PCPG,53,0.8,LSPIN,0.2,0.0006,0.15,150123
PRAD,149,0.2053571428571428,LSPIN,0.2,0.0006,0.15,150123
READ,47,0.5070422535211268,LSPIN,0.2,0.0006,0.15,150123
SARC,77,0.6597845601436265,LSPIN,0.2,0.0006,0.15,150123
SKCM,29,0.3467741935483871,LSPIN,0.2,0.0006,0.15,150123
STAD,105,0.529508797653959,LSPIN,0.2,0.0006,0.15,150123
TGCT,40,0.6111111111111112,LSPIN,0.2,0.0006,0.15,150123
THCA,150,0.7703125,LSPIN,0.2,0.0006,0.15,150123
THYM,35,0.9,LSPIN,0.2,0.0006,0.15,150123
UCEC,162,0.7037429378531074,LSPIN,0.2,0.0006,0.15,150123
UCS,16,0.6790123456790124,LSPIN,0.2,0.0006,0.15,150123
UVM,24,0.6909090909090909,LSPIN,0.2,0.0006,0.15,150123
ACC,24,0.8646616541353384,LSPIN,0.2,0.0006,0.15,150124
BLCA,121,0.5978994748687172,LSPIN,0.2,0.0006,0.15,150124
BRCA,321,0.6767241379310345,LSPIN,0.2,0.0006,0.15,150124
CESC,87,0.6277955271565495,LSPIN,0.2,0.0006,0.15,150124
CHOL,11,0.4545454545454545,LSPIN,0.2,0.0006,0.15,150124
COAD,130,0.5101114321089558,LSPIN,0.2,0.0006,0.15,150124
DLBC,14,0.3555555555555555,LSPIN,0.2,0.0006,0.15,150124
ESCA,48,0.5212765957446809,LSPIN,0.2,0.0006,0.15,150124
GBM,46,0.5744949494949495,LSPIN,0.2,0.0006,0.15,150124
HNSC,150,0.6214452994312479,LSPIN,0.2,0.0006,0.15,150124
KICH,19,0.9655172413793104,LSPIN,0.2,0.0006,0.15,150124
KIRC,158,0.6618944891155129,LSPIN,0.2,0.0006,0.15,150124
KIRP,85,0.879154078549849,LSPIN,0.2,0.0006,0.15,150124
LGG,152,0.7500936680404646,LSPIN,0.2,0.0006,0.15,150124
LIHC,110,0.6486183719193428,LSPIN,0.2,0.0006,0.15,150124
LUAD,150,0.6385688295936931,LSPIN,0.2,0.0006,0.15,150124
LUSC,148,0.5692460317460317,LSPIN,0.2,0.0006,0.15,150124
MESO,25,0.7508650519031141,LSPIN,0.2,0.0006,0.15,150124
OV,112,0.5175389755011136,LSPIN,0.2,0.0006,0.15,150124
PAAD,53,0.7021546261089987,LSPIN,0.2,0.0006,0.15,150124
PCPG,53,0.7333333333333333,LSPIN,0.2,0.0006,0.15,150124
PRAD,149,0.2232142857142857,LSPIN,0.2,0.0006,0.15,150124
READ,47,0.676056338028169,LSPIN,0.2,0.0006,0.15,150124
SARC,77,0.7208258527827648,LSPIN,0.2,0.0006,0.15,150124
SKCM,29,0.2580645161290322,LSPIN,0.2,0.0006,0.15,150124
STAD,105,0.532624633431085,LSPIN,0.2,0.0006,0.15,150124
TGCT,40,0.6666666666666666,LSPIN,0.2,0.0006,0.15,150124
THCA,150,0.7171875,LSPIN,0.2,0.0006,0.15,150124
THYM,35,0.88,LSPIN,0.2,0.0006,0.15,150124
UCEC,162,0.659957627118644,LSPIN,0.2,0.0006,0.15,150124
UCS,16,0.3950617283950617,LSPIN,0.2,0.0006,0.15,150124
UVM,24,0.6909090909090909,LSPIN,0.2,0.0006,0.15,150124
ACC,24,0.8421052631578947,LSPIN,0.2,0.0006,0.15,150125
BLCA,121,0.5886471617904476,LSPIN,0.2,0.0006,0.15,150125
BRCA,321,0.6088830584707646,LSPIN,0.2,0.0006,0.15,150125
CESC,87,0.6725239616613419,LSPIN,0.2,0.0006,0.15,150125
CHOL,11,0.5454545454545454,LSPIN,0.2,0.0006,0.15,150125
COAD,130,0.5823359471729261,LSPIN,0.2,0.0006,0.15,150125
DLBC,14,0.3555555555555555,LSPIN,0.2,0.0006,0.15,150125
ESCA,48,0.550531914893617,LSPIN,0.2,0.0006,0.15,150125
GBM,46,0.5189393939393939,LSPIN,0.2,0.0006,0.15,150125
HNSC,150,0.6421880227500837,LSPIN,0.2,0.0006,0.15,150125
KICH,19,0.9655172413793104,LSPIN,0.2,0.0006,0.15,150125
KIRC,158,0.6885663855657972,LSPIN,0.2,0.0006,0.15,150125
KIRP,85,0.8851963746223565,LSPIN,0.2,0.0006,0.15,150125
LGG,152,0.7560884226301986,LSPIN,0.2,0.0006,0.15,150125
LIHC,110,0.6516056758775205,LSPIN,0.2,0.0006,0.15,150125
LUAD,150,0.6828380836870831,LSPIN,0.2,0.0006,0.15,150125
LUSC,148,0.5476190476190477,LSPIN,0.2,0.0006,0.15,150125
MESO,25,0.7577854671280276,LSPIN,0.2,0.0006,0.15,150125
OV,112,0.5824053452115813,LSPIN,0.2,0.0006,0.15,150125
