model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,0.0065,0.0,4,5,0.5276148203264123,0.48544064671598486
LSPIN,lspin_tf,0.0065,0.0,4,6,0.41718494592206623,0.4130945169561476
LSPIN,lspin_tf,0.0065,0.0,4,7,0.48123950476609395,0.43687456702651867
LSPIN,lspin_tf,0.0065,0.0,4,8,0.2322467748911096,0.23092289882028472
LSPIN,lspin_tf,0.0065,0.0,4,9,0.3613148967036089,0.3996521155051717
LSPIN,lspin_tf,0.0065,0.0,5,6,0.5534224263983185,0.5121881770101523
LSPIN,lspin_tf,0.0065,0.0,5,7,0.4513201250712907,0.4613239822558889
LSPIN,lspin_tf,0.0065,0.0,5,8,0.1078364443424153,0.14559675990121135
LSPIN,lspin_tf,0.0065,0.0,5,9,0.46867703867091887,0.45376206336448005
LSPIN,lspin_tf,0.0065,0.0,6,7,0.38547050902091884,0.3789600097231549
LSPIN,lspin_tf,0.0065,0.0,6,8,0.20279791768099129,0.2420460253198375
LSPIN,lspin_tf,0.0065,0.0,6,9,0.6652554640546797,0.612032253368776
LSPIN,lspin_tf,0.0065,0.0,7,8,0.16788627934516492,0.1601290591321233
LSPIN,lspin_tf,0.0065,0.0,7,9,0.3103159409276221,0.31704729034904583
LSPIN,lspin_tf,0.0065,0.0,8,9,0.3012689118222108,0.3342572347216365
LSPIN,lspin_tf,0.005,0.0,0,1,0.36036186471142606,0.3533284691643695
LSPIN,lspin_tf,0.005,0.0,0,2,0.3895551697187679,0.3761338869519342
LSPIN,lspin_tf,0.005,0.0,0,3,0.19867337745682812,0.269109873066297
LSPIN,lspin_tf,0.005,0.0,0,4,0.28942998165179346,0.33937266815427675
LSPIN,lspin_tf,0.005,0.0,0,5,0.2110780005252496,0.2277883639638885
LSPIN,lspin_tf,0.005,0.0,0,6,0.28247496814758494,0.2913621101948703
