histology,n_test,cindex,model_family,lambda_sparse,lambda_sample_smooth,seed
infiltratingductalcarcinoma,220,0.6504091653027824,LSPIN,0.0027,0.0,100126
infiltratinglobularcarcinoma,60,0.544973544973545,LSPIN,0.0027,0.0,100126
other,23,0.5945945945945946,LSPIN,0.0027,0.0,100126
infiltratingductalcarcinoma,220,0.5111292962356793,LSPIN,0.0027,0.0,100127
infiltratinglobularcarcinoma,60,0.4603174603174603,LSPIN,0.0027,0.0,100127
other,23,0.35135135135135137,LSPIN,0.0027,0.0,100127
infiltratingductalcarcinoma,220,0.664975450081833,LSPIN,0.0027,0.0,100128
infiltratinglobularcarcinoma,60,0.7566137566137566,LSPIN,0.0027,0.0,100128
other,23,0.5135135135135135,LSPIN,0.0027,0.0,100128
infiltratingductalcarcinoma,220,0.5194762684124387,LSPIN,0.0027,0.0,100129
infiltratinglobularcarcinoma,60,0.6296296296296297,LSPIN,0.0027,0.0,100129
other,23,0.5405405405405406,LSPIN,0.0027,0.0,100129
infiltratingductalcarcinoma,220,0.6818330605564649,LSPIN,0.0027,0.0,100130
infiltratinglobularcarcinoma,60,0.5291005291005291,LSPIN,0.0027,0.0,100130
other,23,0.7567567567567568,LSPIN,0.0027,0.0,100130
infiltratingductalcarcinoma,220,0.6170212765957447,LSPIN,0.0027,0.0,100131
infiltratinglobularcarcinoma,60,0.6137566137566137,LSPIN,0.0027,0.0,100131
other,23,0.6756756756756757,LSPIN,0.0027,0.0,100131
infiltratingductalcarcinoma,220,0.690671031096563,LSPIN,0.0027,0.0,100132
infiltratinglobularcarcinoma,60,0.6402116402116402,LSPIN,0.0027,0.0,100132
other,23,0.5675675675675675,LSPIN,0.0027,0.0,100132
infiltratingductalcarcinoma,220,0.6548281505728314,LSPIN,0.0022,0.0,110123
infiltratinglobularcarcinoma,60,0.5608465608465608,LSPIN,0.0022,0.0,110123
other,23,0.4594594594594595,LSPIN,0.0022,0.0,110123
infiltratingductalcarcinoma,220,0.6029459901800327,LSPIN,0.0022,0.0,110124
infiltratinglobularcarcinoma,60,0.4021164021164021,LSPIN,0.0022,0.0,110124
other,23,0.6216216216216216,LSPIN,0.0022,0.0,110124
infiltratingductalcarcinoma,220,0.5112929623567921,LSPIN,0.0022,0.0,110125
infiltratinglobularcarcinoma,60,0.6111111111111112,LSPIN,0.0022,0.0,110125
other,23,0.5,LSPIN,0.0022,0.0,110125
infiltratingductalcarcinoma,220,0.46939443535188213,LSPIN,0.0022,0.0,110126
infiltratinglobularcarcinoma,60,0.544973544973545,LSPIN,0.0022,0.0,110126
other,23,0.527027027027027,LSPIN,0.0022,0.0,110126
infiltratingductalcarcinoma,220,0.6639934533551555,LSPIN,0.0022,0.0,110127
infiltratinglobularcarcinoma,60,0.6111111111111112,LSPIN,0.0022,0.0,110127
other,23,0.5,LSPIN,0.0022,0.0,110127
infiltratingductalcarcinoma,220,0.6756137479541735,LSPIN,0.0022,0.0,110128
infiltratinglobularcarcinoma,60,0.7301587301587301,LSPIN,0.0022,0.0,110128
other,23,0.5945945945945946,LSPIN,0.0022,0.0,110128
infiltratingductalcarcinoma,220,0.6183306055646481,LSPIN,0.0022,0.0,110129
infiltratinglobularcarcinoma,60,0.5502645502645502,LSPIN,0.0022,0.0,110129
other,23,0.6486486486486487,LSPIN,0.0022,0.0,110129
infiltratingductalcarcinoma,220,0.5599018003273323,LSPIN,0.0022,0.0,110130
infiltratinglobularcarcinoma,60,0.42328042328042326,LSPIN,0.0022,0.0,110130
other,23,0.5945945945945946,LSPIN,0.0022,0.0,110130
infiltratingductalcarcinoma,220,0.5639934533551555,LSPIN,0.0022,0.0,110131
infiltratinglobularcarcinoma,60,0.4497354497354497,LSPIN,0.0022,0.0,110131
other,23,0.6216216216216216,LSPIN,0.0022,0.0,110131
infiltratingductalcarcinoma,220,0.5875613747954174,LSPIN,0.0022,0.0,110132
infiltratinglobularcarcinoma,60,0.42328042328042326,LSPIN,0.0022,0.0,110132
other,23,0.43243243243243246,LSPIN,0.0022,0.0,110132
infiltratingductalcarcinoma,220,0.5381342062193126,LSPIN,0.0018,0.0,120123
infiltratinglobularcarcinoma,60,0.5105820105820106,LSPIN,0.0018,0.0,120123
other,23,0.43243243243243246,LSPIN,0.0018,0.0,120123
infiltratingductalcarcinoma,220,0.6369885433715221,LSPIN,0.0018,0.0,120124
infiltratinglobularcarcinoma,60,0.5767195767195767,LSPIN,0.0018,0.0,120124
other,23,0.5945945945945946,LSPIN,0.0018,0.0,120124
infiltratingductalcarcinoma,220,0.6733224222585925,LSPIN,0.0018,0.0,120125
infiltratinglobularcarcinoma,60,0.6137566137566137,LSPIN,0.0018,0.0,120125
other,23,0.43243243243243246,LSPIN,0.0018,0.0,120125
infiltratingductalcarcinoma,220,0.6726677577741408,LSPIN,0.0018,0.0,120126
infiltratinglobularcarcinoma,60,0.5502645502645502,LSPIN,0.0018,0.0,120126
other,23,0.5135135135135135,LSPIN,0.0018,0.0,120126
infiltratingductalcarcinoma,220,0.6032733224222586,LSPIN,0.0018,0.0,120127
infiltratinglobularcarcinoma,60,0.42328042328042326,LSPIN,0.0018,0.0,120127
other,23,0.5405405405405406,LSPIN,0.0018,0.0,120127
infiltratingductalcarcinoma,220,0.6261865793780688,LSPIN,0.0018,0.0,120128
infiltratinglobularcarcinoma,60,0.48148148148148145,LSPIN,0.0018,0.0,120128
other,23,0.5675675675675675,LSPIN,0.0018,0.0,120128
infiltratingductalcarcinoma,220,0.5855973813420622,LSPIN,0.0018,0.0,120129
infiltratinglobularcarcinoma,60,0.49206349206349204,LSPIN,0.0018,0.0,120129
other,23,0.7567567567567568,LSPIN,0.0018,0.0,120129
infiltratingductalcarcinoma,220,0.6641571194762684,LSPIN,0.0018,0.0,120130
infiltratinglobularcarcinoma,60,0.3544973544973545,LSPIN,0.0018,0.0,120130
other,23,0.3783783783783784,LSPIN,0.0018,0.0,120130
infiltratingductalcarcinoma,220,0.548772504091653,LSPIN,0.0018,0.0,120131
infiltratinglobularcarcinoma,60,0.5740740740740741,LSPIN,0.0018,0.0,120131
