model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,0.005,0.0,3,4,0.8087112996147303
LSPIN,lspin_tf,0.005,0.0,3,5,0.73633630491999
LSPIN,lspin_tf,0.005,0.0,3,6,0.710559936664073
LSPIN,lspin_tf,0.005,0.0,3,7,0.8071486656117529
LSPIN,lspin_tf,0.005,0.0,3,8,0.6226883719842417
LSPIN,lspin_tf,0.005,0.0,3,9,0.7520649313138918
LSPIN,lspin_tf,0.005,0.0,4,5,0.5957476546682995
LSPIN,lspin_tf,0.005,0.0,4,6,0.6150073340689665
LSPIN,lspin_tf,0.005,0.0,4,7,0.7222314702927265
LSPIN,lspin_tf,0.005,0.0,4,8,0.6113776813015382
LSPIN,lspin_tf,0.005,0.0,4,9,0.7654000650650933
LSPIN,lspin_tf,0.005,0.0,5,6,0.7565400087252718
LSPIN,lspin_tf,0.005,0.0,5,7,0.7950561700318105
LSPIN,lspin_tf,0.005,0.0,5,8,0.4503337540626239
LSPIN,lspin_tf,0.005,0.0,5,9,0.6415231005391736
LSPIN,lspin_tf,0.005,0.0,6,7,0.7786752372242814
LSPIN,lspin_tf,0.005,0.0,6,8,0.5760766587543655
LSPIN,lspin_tf,0.005,0.0,6,9,0.6893566436161975
LSPIN,lspin_tf,0.005,0.0,7,8,0.6142569665019376
LSPIN,lspin_tf,0.005,0.0,7,9,0.7720656870612749
LSPIN,lspin_tf,0.005,0.0,8,9,0.5700314210000946
LSPIN,lspin_tf,0.004,0.0,0,1,0.6894883970825544
LSPIN,lspin_tf,0.004,0.0,0,2,0.7936774276919345
LSPIN,lspin_tf,0.004,0.0,0,3,0.7398272132547236
LSPIN,lspin_tf,0.004,0.0,0,4,0.6641538774985963
LSPIN,lspin_tf,0.004,0.0,0,5,0.7235432544383913
LSPIN,lspin_tf,0.004,0.0,0,6,0.7760786785087551
LSPIN,lspin_tf,0.004,0.0,0,7,0.6284033333219425
LSPIN,lspin_tf,0.004,0.0,0,8,0.6697656605183698
LSPIN,lspin_tf,0.004,0.0,0,9,0.7409613756427614
LSPIN,lspin_tf,0.004,0.0,1,2,0.6994801803356141
LSPIN,lspin_tf,0.004,0.0,1,3,0.7885650770708633
LSPIN,lspin_tf,0.004,0.0,1,4,0.7406018642231318
LSPIN,lspin_tf,0.004,0.0,1,5,0.7279624971215951
LSPIN,lspin_tf,0.004,0.0,1,6,0.8102176328951836
LSPIN,lspin_tf,0.004,0.0,1,7,0.7092736468485831
LSPIN,lspin_tf,0.004,0.0,1,8,0.6233717316263686
LSPIN,lspin_tf,0.004,0.0,1,9,0.7516357186044207
LSPIN,lspin_tf,0.004,0.0,2,3,0.7254023249978399
LSPIN,lspin_tf,0.004,0.0,2,4,0.7139264013682913
LSPIN,lspin_tf,0.004,0.0,2,5,0.7397056889058137
LSPIN,lspin_tf,0.004,0.0,2,6,0.7978548571637265
LSPIN,lspin_tf,0.004,0.0,2,7,0.7641361106718311
LSPIN,lspin_tf,0.004,0.0,2,8,0.642812789541299
LSPIN,lspin_tf,0.004,0.0,2,9,0.7450329560033815
LSPIN,lspin_tf,0.004,0.0,3,4,0.7005969224923889
LSPIN,lspin_tf,0.004,0.0,3,5,0.7474046576548679
LSPIN,lspin_tf,0.004,0.0,3,6,0.8175113822485462
LSPIN,lspin_tf,0.004,0.0,3,7,0.686923283408691
LSPIN,lspin_tf,0.004,0.0,3,8,0.6382865976692533
LSPIN,lspin_tf,0.004,0.0,3,9,0.8101676866678051
LSPIN,lspin_tf,0.004,0.0,4,5,0.7443356292188671
LSPIN,lspin_tf,0.004,0.0,4,6,0.8336786659814549
LSPIN,lspin_tf,0.004,0.0,4,7,0.820300093318989
LSPIN,lspin_tf,0.004,0.0,4,8,0.6497592909881685
LSPIN,lspin_tf,0.004,0.0,4,9,0.5986402442513191
LSPIN,lspin_tf,0.004,0.0,5,6,0.7842669829123673
LSPIN,lspin_tf,0.004,0.0,5,7,0.6606351245005101
LSPIN,lspin_tf,0.004,0.0,5,8,0.7703852887563518
LSPIN,lspin_tf,0.004,0.0,5,9,0.757584751360635
LSPIN,lspin_tf,0.004,0.0,6,7,0.7614699174194977
LSPIN,lspin_tf,0.004,0.0,6,8,0.6544236210506732
LSPIN,lspin_tf,0.004,0.0,6,9,0.7777364447685013
LSPIN,lspin_tf,0.004,0.0,7,8,0.5492726794524488
LSPIN,lspin_tf,0.004,0.0,7,9,0.6277709677344138
LSPIN,lspin_tf,0.004,0.0,8,9,0.6217002836928799
LSPIN,lspin_tf,0.0033,0.0,0,1,0.6388727701301707
LSPIN,lspin_tf,0.0033,0.0,0,2,0.654431195526999
LSPIN,lspin_tf,0.0033,0.0,0,3,0.6907676498675807
LSPIN,lspin_tf,0.0033,0.0,0,4,0.6995786568013901
LSPIN,lspin_tf,0.0033,0.0,0,5,0.7204420601376279
LSPIN,lspin_tf,0.0033,0.0,0,6,0.7808422436329493
LSPIN,lspin_tf,0.0033,0.0,0,7,0.7008527066418399
LSPIN,lspin_tf,0.0033,0.0,0,8,0.7215559870524134
LSPIN,lspin_tf,0.0033,0.0,0,9,0.814923196042514
LSPIN,lspin_tf,0.0033,0.0,1,2,0.7756363350941909
LSPIN,lspin_tf,0.0033,0.0,1,3,0.729338330545463
LSPIN,lspin_tf,0.0033,0.0,1,4,0.620387379436585
LSPIN,lspin_tf,0.0033,0.0,1,5,0.6425761570099274
LSPIN,lspin_tf,0.0033,0.0,1,6,0.577701153716935
LSPIN,lspin_tf,0.0033,0.0,1,7,0.6275907968271247
LSPIN,lspin_tf,0.0033,0.0,1,8,0.6213812362105875
LSPIN,lspin_tf,0.0033,0.0,1,9,0.7202166827743964
LSPIN,lspin_tf,0.0033,0.0,2,3,0.66881225294345
LSPIN,lspin_tf,0.0033,0.0,2,4,0.69881736126638
LSPIN,lspin_tf,0.0033,0.0,2,5,0.6563716775492814
LSPIN,lspin_tf,0.0033,0.0,2,6,0.6670372289506515
LSPIN,lspin_tf,0.0033,0.0,2,7,0.7341398576199101
LSPIN,lspin_tf,0.0033,0.0,2,8,0.6352628468002456
LSPIN,lspin_tf,0.0033,0.0,2,9,0.7366310294385096
LSPIN,lspin_tf,0.0033,0.0,3,4,0.6895351010093881
LSPIN,lspin_tf,0.0033,0.0,3,5,0.5987094550064423
LSPIN,lspin_tf,0.0033,0.0,3,6,0.615899394573387
