histology,n_test,cindex,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.0,330124
kidneyclearcellrenalcarcinoma,156,0.6599268659926866,LSPIN,mlp,0.0035,0.0,330124
kidneypapillaryrenalcellcarcinoma,84,0.7572964669738863,LSPIN,mlp,0.0035,0.0,330124
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.0,330125
kidneyclearcellrenalcarcinoma,156,0.690901269090127,LSPIN,mlp,0.0035,0.0,330125
kidneypapillaryrenalcellcarcinoma,84,0.8018433179723502,LSPIN,mlp,0.0035,0.0,330125
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.0035,0.0,330126
kidneyclearcellrenalcarcinoma,156,0.6904710690471069,LSPIN,mlp,0.0035,0.0,330126
kidneypapillaryrenalcellcarcinoma,84,0.794162826420891,LSPIN,mlp,0.0035,0.0,330126
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.0,330127
kidneyclearcellrenalcarcinoma,156,0.6672402667240267,LSPIN,mlp,0.0035,0.0,330127
kidneypapillaryrenalcellcarcinoma,84,0.7849462365591398,LSPIN,mlp,0.0035,0.0,330127
kidneychromophobe,19,0.6619718309859155,LSPIN,mlp,0.0035,0.0,330128
kidneyclearcellrenalcarcinoma,156,0.6827274682727468,LSPIN,mlp,0.0035,0.0,330128
kidneypapillaryrenalcellcarcinoma,84,0.8248847926267281,LSPIN,mlp,0.0035,0.0,330128
kidneychromophobe,19,0.7605633802816901,LSPIN,mlp,0.0035,0.0,330129
kidneyclearcellrenalcarcinoma,156,0.6648741664874166,LSPIN,mlp,0.0035,0.0,330129
kidneypapillaryrenalcellcarcinoma,84,0.8187403993855606,LSPIN,mlp,0.0035,0.0,330129
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.0,330130
kidneyclearcellrenalcarcinoma,156,0.6814368681436869,LSPIN,mlp,0.0035,0.0,330130
kidneypapillaryrenalcellcarcinoma,84,0.8033794162826421,LSPIN,mlp,0.0035,0.0,330130
kidneychromophobe,19,0.6197183098591549,LSPIN,mlp,0.0105,0.0,370123
kidneyclearcellrenalcarcinoma,156,0.7188642718864272,LSPIN,mlp,0.0105,0.0,370123
kidneypapillaryrenalcellcarcinoma,84,0.8187403993855606,LSPIN,mlp,0.0105,0.0,370123
kidneychromophobe,19,0.6619718309859155,LSPIN,mlp,0.0105,0.0,370124
kidneyclearcellrenalcarcinoma,156,0.695848569584857,LSPIN,mlp,0.0105,0.0,370124
kidneypapillaryrenalcellcarcinoma,84,0.7972350230414746,LSPIN,mlp,0.0105,0.0,370124
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.0105,0.0,370125
kidneyclearcellrenalcarcinoma,156,0.6704667670466767,LSPIN,mlp,0.0105,0.0,370125
kidneypapillaryrenalcellcarcinoma,84,0.8341013824884793,LSPIN,mlp,0.0105,0.0,370125
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0105,0.0,370126
kidneyclearcellrenalcarcinoma,156,0.6713271671327167,LSPIN,mlp,0.0105,0.0,370126
kidneypapillaryrenalcellcarcinoma,84,0.8033794162826421,LSPIN,mlp,0.0105,0.0,370126
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0105,0.0,370127
kidneyclearcellrenalcarcinoma,156,0.6855237685523768,LSPIN,mlp,0.0105,0.0,370127
kidneypapillaryrenalcellcarcinoma,84,0.7619047619047619,LSPIN,mlp,0.0105,0.0,370127
kidneychromophobe,19,0.7323943661971831,LSPIN,mlp,0.0105,0.0,370128
kidneyclearcellrenalcarcinoma,156,0.6588513658851366,LSPIN,mlp,0.0105,0.0,370128
kidneypapillaryrenalcellcarcinoma,84,0.8279569892473119,LSPIN,mlp,0.0105,0.0,370128
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0105,0.0,370129
kidneyclearcellrenalcarcinoma,156,0.6732630673263067,LSPIN,mlp,0.0105,0.0,370129
kidneypapillaryrenalcellcarcinoma,84,0.837173579109063,LSPIN,mlp,0.0105,0.0,370129
kidneychromophobe,19,0.6619718309859155,LSPIN,mlp,0.0105,0.0,370130
kidneyclearcellrenalcarcinoma,156,0.6859539685953968,LSPIN,mlp,0.0105,0.0,370130
kidneypapillaryrenalcellcarcinoma,84,0.7987711213517665,LSPIN,mlp,0.0105,0.0,370130
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.025,410123
kidneyclearcellrenalcarcinoma,156,0.707679070767907,LSPIN,mlp,0.0035,0.025,410123
kidneypapillaryrenalcellcarcinoma,84,0.8079877112135176,LSPIN,mlp,0.0035,0.025,410123
kidneychromophobe,19,0.7183098591549296,LSPIN,mlp,0.0035,0.025,410124
kidneyclearcellrenalcarcinoma,156,0.6863841686384169,LSPIN,mlp,0.0035,0.025,410124
kidneypapillaryrenalcellcarcinoma,84,0.8141321044546851,LSPIN,mlp,0.0035,0.025,410124
kidneychromophobe,19,0.6197183098591549,LSPIN,mlp,0.0035,0.025,410125
kidneyclearcellrenalcarcinoma,156,0.7061733706173371,LSPIN,mlp,0.0035,0.025,410125
kidneypapillaryrenalcellcarcinoma,84,0.7895545314900153,LSPIN,mlp,0.0035,0.025,410125
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.025,410126
kidneyclearcellrenalcarcinoma,156,0.6865992686599268,LSPIN,mlp,0.0035,0.025,410126
kidneypapillaryrenalcellcarcinoma,84,0.8279569892473119,LSPIN,mlp,0.0035,0.025,410126
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.025,410127
kidneyclearcellrenalcarcinoma,156,0.6820821682082168,LSPIN,mlp,0.0035,0.025,410127
kidneypapillaryrenalcellcarcinoma,84,0.7926267281105991,LSPIN,mlp,0.0035,0.025,410127
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0035,0.025,410128
kidneyclearcellrenalcarcinoma,156,0.6820821682082168,LSPIN,mlp,0.0035,0.025,410128
kidneypapillaryrenalcellcarcinoma,84,0.8018433179723502,LSPIN,mlp,0.0035,0.025,410128
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.025,410129
kidneyclearcellrenalcarcinoma,156,0.6721875672187567,LSPIN,mlp,0.0035,0.025,410129
kidneypapillaryrenalcellcarcinoma,84,0.8033794162826421,LSPIN,mlp,0.0035,0.025,410129
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.025,410130
kidneyclearcellrenalcarcinoma,156,0.6896106689610669,LSPIN,mlp,0.0035,0.025,410130
kidneypapillaryrenalcellcarcinoma,84,0.815668202764977,LSPIN,mlp,0.0035,0.025,410130
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0105,0.025,450123
kidneyclearcellrenalcarcinoma,156,0.6831576683157669,LSPIN,mlp,0.0105,0.025,450123
kidneypapillaryrenalcellcarcinoma,84,0.8448540706605223,LSPIN,mlp,0.0105,0.025,450123
kidneychromophobe,19,0.647887323943662,LSPIN,mlp,0.0105,0.025,450124
