model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,mlp,0.00875,0.025,1,4,0.9017001573074364,3.735576923076923,0.6,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,mlp,0.00875,0.025,2,3,0.911356359545534,3.5440088757396446,0.5522388059701493,3.927144970414201,0.6507936507936508
LSPIN,lspin_tf,mlp,0.00875,0.025,2,4,0.8864338078242654,3.735576923076923,0.6,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,mlp,0.00875,0.025,3,4,0.8889301647275581,3.448224852071006,0.5294117647058824,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.0105,0.025,0,1,0.859422026911666,3.735576923076923,0.6,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,mlp,0.0105,0.025,0,2,0.8689304977432033,3.735576923076923,0.6,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,mlp,0.0105,0.025,0,3,0.8806411361866793,3.735576923076923,0.6,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,mlp,0.0105,0.025,0,4,0.8866033263539312,3.831360946745562,0.625,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,mlp,0.0105,0.025,1,2,0.8639065403801368,3.5440088757396446,0.5522388059701493,3.735576923076923,0.6
LSPIN,lspin_tf,mlp,0.0105,0.025,1,3,0.7944946196750015,3.448224852071006,0.5294117647058824,2.7777366863905324,0.3866666666666666
LSPIN,lspin_tf,mlp,0.0105,0.025,1,4,0.8658399741051299,3.639792899408284,0.5757575757575758,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,mlp,0.0105,0.025,2,3,0.7854957439834291,3.448224852071006,0.5294117647058824,2.586168639053254,0.3506493506493506
LSPIN,lspin_tf,mlp,0.0105,0.025,2,4,0.8248672536111017,3.1608727810650885,0.4647887323943662,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,mlp,0.0105,0.025,3,4,0.8522311476267682,3.639792899408284,0.5757575757575758,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,mlp,0.014,0.025,0,1,0.8235491368530815,3.0650887573964494,0.4444444444444444,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,mlp,0.014,0.025,0,2,0.8862250089024378,3.5440088757396446,0.5522388059701493,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,mlp,0.014,0.025,0,3,0.8676327501145373,3.5440088757396446,0.5522388059701493,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.014,0.025,0,4,0.8362783161982732,3.448224852071006,0.5294117647058824,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.014,0.025,1,2,0.8134409908358621,3.735576923076923,0.6,2.8735207100591715,0.4054054054054054
LSPIN,lspin_tf,mlp,0.014,0.025,1,3,0.8318178711923075,3.5440088757396446,0.5522388059701493,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,mlp,0.014,0.025,1,4,0.8084672415840763,3.352440828402367,0.5072463768115942,2.8735207100591715,0.4054054054054054
LSPIN,lspin_tf,mlp,0.014,0.025,2,3,0.8830863536176741,3.5440088757396446,0.5522388059701493,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,mlp,0.014,0.025,2,4,0.8512417621948847,3.831360946745562,0.625,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,mlp,0.014,0.025,3,4,0.8527016590354188,3.352440828402367,0.5072463768115942,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.021,0.025,0,1,0.8308222086245585,3.352440828402367,0.5072463768115942,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,mlp,0.021,0.025,0,2,0.825578133756989,3.352440828402367,0.5072463768115942,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,mlp,0.021,0.025,0,3,0.7772075574229792,2.8735207100591715,0.4054054054054054,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,mlp,0.021,0.025,0,4,0.8336041446357718,3.5440088757396446,0.5522388059701493,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,mlp,0.021,0.025,1,2,0.7926307043594717,3.1608727810650885,0.4647887323943662,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,mlp,0.021,0.025,1,3,0.7625720811119145,2.8735207100591715,0.4054054054054054,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,mlp,0.021,0.025,1,4,0.8294399525344905,3.256656804733728,0.4857142857142857,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.021,0.025,2,3,0.7696677661986498,3.0650887573964494,0.4444444444444444,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.021,0.025,2,4,0.7916163971721389,3.256656804733728,0.4857142857142857,2.6819526627218933,0.3684210526315789
LSPIN,lspin_tf,mlp,0.021,0.025,3,4,0.7564628482377577,2.9693047337278107,0.4246575342465753,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,mlp,0.028,0.025,0,1,0.7735780936689127,3.352440828402367,0.5072463768115942,2.8735207100591715,0.4054054054054054
LSPIN,lspin_tf,mlp,0.028,0.025,0,2,0.7392011626710535,3.0650887573964494,0.4444444444444444,2.8735207100591715,0.4054054054054054
LSPIN,lspin_tf,mlp,0.028,0.025,0,3,0.7291595774304144,3.0650887573964494,0.4444444444444444,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,mlp,0.028,0.025,0,4,0.7332232177529082,3.0650887573964494,0.4444444444444444,2.8735207100591715,0.4054054054054054
LSPIN,lspin_tf,mlp,0.028,0.025,1,2,0.8007873693401468,3.256656804733728,0.4857142857142857,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.028,0.025,1,3,0.7941476420563206,3.0650887573964494,0.4444444444444444,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,mlp,0.028,0.025,1,4,0.7803912345655366,3.0650887573964494,0.4444444444444444,2.8735207100591715,0.4054054054054054
LSPIN,lspin_tf,mlp,0.028,0.025,2,3,0.7424838436542476,3.256656804733728,0.4857142857142857,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,mlp,0.028,0.025,2,4,0.795901930372343,3.1608727810650885,0.4647887323943662,2.6819526627218933,0.3684210526315789
LSPIN,lspin_tf,mlp,0.028,0.025,3,4,0.7960234118297395,3.256656804733728,0.4857142857142857,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,mlp,0.0035,0.05,0,1,0.950529131234656,4.310281065088757,0.7627118644067796,4.118713017751479,0.7049180327868853
LSPIN,lspin_tf,mlp,0.0035,0.05,0,2,0.9432328676513688,3.831360946745562,0.625,3.735576923076923,0.6
LSPIN,lspin_tf,mlp,0.0035,0.05,0,3,0.9370484893819314,4.214497041420118,0.7333333333333333,3.735576923076923,0.6
LSPIN,lspin_tf,mlp,0.0035,0.05,0,4,0.879567936605627,3.352440828402367,0.5072463768115942,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,mlp,0.0035,0.05,1,2,0.9253505306227284,4.118713017751479,0.7049180327868853,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,mlp,0.0035,0.05,1,3,0.9558670824538812,4.406065088757396,0.7931034482758621,3.927144970414201,0.6507936507936508
LSPIN,lspin_tf,mlp,0.0035,0.05,1,4,0.867145720583466,3.448224852071006,0.5294117647058824,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,mlp,0.0035,0.05,2,3,0.9355477476013784,4.118713017751479,0.7049180327868853,4.118713017751479,0.7049180327868853
