model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_risk_corr,mean_top_risk_overlap_ratio,mean_top_risk_jaccard,mean_bottom_risk_overlap_ratio,mean_bottom_risk_jaccard
LSPIN,0.22,0.007,0.025,0.9096336354427471,4.246425049309664,0.743126177024482,3.735576923076923,0.6007462686567164
LSPIN,0.22,0.007,0.05,0.8742541913507283,4.182569033530572,0.72418264332685,3.384368836291913,0.5180230996508192
LSPIN,0.22,0.007,0.1,0.9034710265853008,3.7036489151873764,0.5929300108404586,3.7036489151873764,0.5929300108404586
LSPIN,0.22,0.00875,0.0,0.834874590968207,3.7675049309664694,0.6114432658309226,3.160872781065089,0.46612202264376174
LSPIN,0.22,0.00875,0.025,0.8888756998475148,3.9590729783037477,0.6596688854753371,3.352440828402367,0.5074574757439207
LSPIN,0.22,0.00875,0.05,0.9059793457107506,3.799432938856016,0.6190522795856782,3.6717209072978303,0.5863566418382471
LSPIN,0.22,0.00875,0.1,0.8390677065061043,3.6078648915187372,0.5690821256038647,3.0012327416173563,0.4319666145018257
LSPIN,0.22,0.0105,0.0,0.864073113640127,3.8952169625246547,0.6446969696969697,3.0331607495069033,0.4385924084554221
LSPIN,0.22,0.0105,0.025,0.873523612969831,3.799432938856016,0.6218599033816425,3.448224852071006,0.5300834431269213
LSPIN,0.22,0.0105,0.05,0.8708816912797112,3.799432938856016,0.6177256435320951,3.160872781065089,0.4661712477989674
LSPIN,0.22,0.0105,0.1,0.8340427845235877,3.1289447731755424,0.45838685078507574,3.1289447731755424,0.46097126875158917
LSPIN,0.22,0.014,0.0,0.8016217764916848,3.384368836291913,0.5154797676901326,3.4801528599605525,0.5397334990334162
LSPIN,0.22,0.014,0.025,0.8153728893835321,3.5440088757396446,0.5529205094422486,3.288584812623274,0.4953764652394789
LSPIN,0.22,0.014,0.05,0.8172999840156076,3.639792899408284,0.5764705882352942,2.9054487179487176,0.41182278168579534
LSPIN,0.22,0.014,0.1,0.8508390681711161,3.639792899408284,0.5759987939092417,2.937376725838264,0.41858954845256213
