family,selection,model_label,gene,run_count,primary_histology,primary_histology_count,primary_histology_fraction,median_gate_rate_holdout,median_selected_patient_n,median_target_abs_neglog10_p,median_random_abs_neglog10_p,median_target_minus_random_median,fraction_beating_random_median,symbol,description,curated_tumor_gene_note,curated_tumor_gene
Concrete,nosmooth_lamx3,Concrete nosmooth,PARK2,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5574913024902344,160.0,0.320633149228579,0.5699364931934263,-0.2493033439648473,0.0,PARK2,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,EGR1,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5574913024902344,160.0,0.5596833644563999,0.8094405722891489,-0.249757207832749,0.0,EGR1,,,False
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,IL22RA1,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.7254979109974892,0.9783920338883888,-0.2528941228908997,0.0,IL22RA1,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,MUC17,1,kidneypapillaryrenalcellcarcinoma,1,1.0,0.4146341383457184,119.0,0.1809336190877936,0.4339455954266009,-0.2530119763388073,0.0,MUC17,,,False
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,MTUS2,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.395822989083651,0.6489760440474781,-0.2531530549638271,0.0,MTUS2,,,False
L-Concrete,smooth_lamx3_smooth0p025,L-Concrete smooth,PRRX1,1,kidneypapillaryrenalcellcarcinoma,1,1.0,0.4355400800704956,125.0,0.1486579685995375,0.4018436202052303,-0.2531856516056928,0.0,PRRX1,,,False
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,DYSF,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.3707991358771449,0.6241129607055921,-0.2533138248284471,0.0,DYSF,,,False
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,ZPLD1,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.4573617102373298,0.7127417388373276,-0.2553800285999977,0.0,ZPLD1,,,False
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,GCAT,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.5518101659197387,0.8080325285990415,-0.2562223626793027,0.0,GCAT,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,PRKY,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5679442286491394,163.0,0.4490277366726244,0.7059532169350455,-0.256925480262421,0.0,PRKY,,,False
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,PEAR1,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.842134100494863,1.0995915980883115,-0.2574574975934485,0.0,PEAR1,,,False
L-Concrete,smooth_lamx3_smooth0p025,L-Concrete smooth,AKR1C2,1,kidneyclearcellrenalcarcinoma,1,1.0,0.170731708407402,49.0,0.0644078069570723,0.3231821236267963,-0.258774316669724,0.0,AKR1C2,,,False
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,C18orf1,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.5194370805942199,0.7785802935728661,-0.2591432129786462,0.0,C18orf1,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,HLA-DQB2,1,kidneyclearcellrenalcarcinoma,1,1.0,0.3240418136119842,93.0,0.3498371395798177,0.60916727496822,-0.2593301353884022,0.0,HLA-DQB2,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,GRIP1,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5226480960845947,150.0,0.6935276267206003,0.9538461823941432,-0.2603185556735429,0.0,GRIP1,,,False
