model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,mlp,0.021,0.4,1,3,0.830445345992519
LSPIN,lspin_tf,mlp,0.021,0.4,1,4,0.8047040506702967
LSPIN,lspin_tf,mlp,0.021,0.4,2,3,0.8531698561953529
LSPIN,lspin_tf,mlp,0.021,0.4,2,4,0.8538893215345171
LSPIN,lspin_tf,mlp,0.021,0.4,3,4,0.8965862621779495
LSPIN,lspin_tf,mlp,0.028,0.4,0,1,0.8308401923768555
LSPIN,lspin_tf,mlp,0.028,0.4,0,2,0.8823715650158201
LSPIN,lspin_tf,mlp,0.028,0.4,0,3,0.8550047191027158
LSPIN,lspin_tf,mlp,0.028,0.4,0,4,0.8167379835214915
LSPIN,lspin_tf,mlp,0.028,0.4,1,2,0.8159776612744047
LSPIN,lspin_tf,mlp,0.028,0.4,1,3,0.8030326255061789
LSPIN,lspin_tf,mlp,0.028,0.4,1,4,0.8753249889417333
LSPIN,lspin_tf,mlp,0.028,0.4,2,3,0.8255441531500648
LSPIN,lspin_tf,mlp,0.028,0.4,2,4,0.7401025785728427
LSPIN,lspin_tf,mlp,0.028,0.4,3,4,0.7995108319172766
LSPIN,lspin_tf,mlp,0.0035,0.0,0,1,0.949929197061842
LSPIN,lspin_tf,mlp,0.0035,0.0,0,2,0.9053059630266698
LSPIN,lspin_tf,mlp,0.0035,0.0,0,3,0.8561006750027176
LSPIN,lspin_tf,mlp,0.0035,0.0,0,4,0.954428580281516
LSPIN,lspin_tf,mlp,0.0035,0.0,1,2,0.9197242753091808
LSPIN,lspin_tf,mlp,0.0035,0.0,1,3,0.8556829978074668
LSPIN,lspin_tf,mlp,0.0035,0.0,1,4,0.9359522815868204
LSPIN,lspin_tf,mlp,0.0035,0.0,2,3,0.9185145955462702
LSPIN,lspin_tf,mlp,0.0035,0.0,2,4,0.9105250008110226
LSPIN,lspin_tf,mlp,0.0035,0.0,3,4,0.881154415937667
LSPIN,lspin_tf,mlp,0.00525,0.0,0,1,0.8388113489194226
LSPIN,lspin_tf,mlp,0.00525,0.0,0,2,0.9092962007420246
LSPIN,lspin_tf,mlp,0.00525,0.0,0,3,0.7943865673264566
LSPIN,lspin_tf,mlp,0.00525,0.0,0,4,0.8489059293733675
LSPIN,lspin_tf,mlp,0.00525,0.0,1,2,0.8798801739538007
LSPIN,lspin_tf,mlp,0.00525,0.0,1,3,0.8671317787273389
LSPIN,lspin_tf,mlp,0.00525,0.0,1,4,0.9135644714166672
LSPIN,lspin_tf,mlp,0.00525,0.0,2,3,0.8704213417238966
LSPIN,lspin_tf,mlp,0.00525,0.0,2,4,0.8914721974296904
LSPIN,lspin_tf,mlp,0.00525,0.0,3,4,0.9296944167188176
LSPIN,lspin_tf,mlp,0.007,0.0,0,1,0.8603124693456288
LSPIN,lspin_tf,mlp,0.007,0.0,0,2,0.833263312565677
LSPIN,lspin_tf,mlp,0.007,0.0,0,3,0.8033378901101961
LSPIN,lspin_tf,mlp,0.007,0.0,0,4,0.7974867476028378
LSPIN,lspin_tf,mlp,0.007,0.0,1,2,0.8520951386650312
LSPIN,lspin_tf,mlp,0.007,0.0,1,3,0.8238246337343594
LSPIN,lspin_tf,mlp,0.007,0.0,1,4,0.846447738992887
LSPIN,lspin_tf,mlp,0.007,0.0,2,3,0.8819451973022656
LSPIN,lspin_tf,mlp,0.007,0.0,2,4,0.8610983092642235
LSPIN,lspin_tf,mlp,0.007,0.0,3,4,0.8893285638299173
LSPIN,lspin_tf,mlp,0.00875,0.0,0,1,0.9168399395762656
LSPIN,lspin_tf,mlp,0.00875,0.0,0,2,0.7630099995774002
LSPIN,lspin_tf,mlp,0.00875,0.0,0,3,0.9134778344150164
LSPIN,lspin_tf,mlp,0.00875,0.0,0,4,0.9004102475161166
