model_family,lambda_sample_smooth,lambda_sparse,mean_Khard,std_Khard,mean_test_c,std_test_c,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,mean_effective_gene_count,n_runs
L-Concrete,0.2,0.0066,220.01703948974608,38.5630390755869,0.6228501228501229,0.027598180778783253,0.9139442283150375,0.011323118131789206,2817.1,274.8,337.3510639684366,10
L-Concrete,0.2,0.0055,285.2115783691406,49.044118257587,0.6151515151515151,0.02242371130712207,0.9278438321531967,0.009821259577957977,2847.3,355.9,406.9504167073993,10
L-Concrete,0.2,0.0044,465.4443725585937,42.64293231400402,0.6328910728910728,0.040323003489120136,0.9518246492650049,0.00900014656326614,3596.3,560.5,610.1880479129431,10
L-Concrete,0.2,0.0033,765.0829528808594,81.14585090059514,0.6322522522522522,0.033470897842228335,0.97080927966767,0.005130756668590389,3209.8,881.2,896.2309507260261,10
L-Concrete,0.2,0.00275,979.3434143066406,115.80488770034137,0.635020475020475,0.01169711077748109,0.9767862017465131,0.0037581963810551164,2937.4,1153.6,1130.0704305690545,10
L-Concrete,0.2,0.0022,1361.219921875,104.04545746699007,0.6404586404586404,0.019472403517506988,0.9834211165312713,0.00208463727759583,2992.5,1627.1,1548.7295663999116,10
L-Concrete,0.2,0.00165,2051.196142578125,149.58820956145382,0.6503194103194103,0.01613573419524426,0.9890431199851054,0.0021982409585460366,3522.3,2369.6,2258.0173042756323,10
L-Concrete,0.2,0.0011,3358.24404296875,331.4511387945964,0.6541195741195741,0.011134181507586067,0.9937372918681813,0.001528065375850756,4808.1,3919.0,3683.7411023367795,10
L-Concrete,0.4,0.0066,245.88199615478516,36.385276084637134,0.6196068796068797,0.03468956364393257,0.910929593306238,0.024402256512229367,2323.6,292.6,336.0059034568672,10
L-Concrete,0.4,0.0055,323.67974548339845,43.358476319430316,0.6443079443079444,0.037962570251394157,0.9353622099952631,0.013410804074932918,2337.0,372.4,408.42271548850374,10
L-Concrete,0.4,0.0044,476.6864959716797,52.82490384394389,0.6435053235053235,0.029298126777382992,0.952781764711091,0.006973374503173991,2271.5,559.7,572.6076137675061,10
L-Concrete,0.4,0.0033,754.9916381835938,58.72670962625644,0.6241932841932842,0.011817361653767431,0.9693386291918514,0.0037265847743984336,2925.2,915.4,901.9976321711254,10
L-Concrete,0.4,0.00275,1004.2157592773438,128.1094291029415,0.6381654381654382,0.025817455539253947,0.9769627560081247,0.0033229843273311316,2946.7,1198.1,1159.3992557781326,10
L-Concrete,0.4,0.0022,1362.5228271484375,135.4103850950099,0.6394103194103194,0.02100821092319409,0.9835155546519081,0.0035374747572644353,3233.2,1639.6,1562.3903671704436,10
L-Concrete,0.4,0.00165,2053.2803955078125,142.62385532564738,0.6448648648648649,0.01833463817372944,0.9897912100242523,0.0011996269908145316,3937.7,2461.1,2318.9818803403655,10
L-Concrete,0.4,0.0011,3510.9135009765623,468.2032642892548,0.6585257985257985,0.010421618706139875,0.9937307928331865,0.0018223042611537669,5555.2,4282.3,3962.5070349392217,10
