histology,n_test,cindex,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
infiltratinglobularcarcinoma,60,0.5343915343915344,LSPIN,mlp,0.014,0.1,140124
other,23,0.8648648648648649,LSPIN,mlp,0.014,0.1,140124
infiltratingductalcarcinoma,220,0.6556464811783961,LSPIN,mlp,0.014,0.1,140125
infiltratinglobularcarcinoma,60,0.5238095238095238,LSPIN,mlp,0.014,0.1,140125
other,23,0.3243243243243243,LSPIN,mlp,0.014,0.1,140125
infiltratingductalcarcinoma,220,0.4968903436988543,LSPIN,mlp,0.014,0.1,140126
infiltratinglobularcarcinoma,60,0.4444444444444444,LSPIN,mlp,0.014,0.1,140126
other,23,0.6216216216216216,LSPIN,mlp,0.014,0.1,140126
infiltratingductalcarcinoma,220,0.5564648117839607,LSPIN,mlp,0.014,0.1,140127
infiltratinglobularcarcinoma,60,0.5925925925925926,LSPIN,mlp,0.014,0.1,140127
other,23,0.4864864864864865,LSPIN,mlp,0.014,0.1,140127
infiltratingductalcarcinoma,220,0.6625204582651392,LSPIN,mlp,0.021,0.1,150123
infiltratinglobularcarcinoma,60,0.4973544973544973,LSPIN,mlp,0.021,0.1,150123
other,23,0.4864864864864865,LSPIN,mlp,0.021,0.1,150123
infiltratingductalcarcinoma,220,0.6543371522094926,LSPIN,mlp,0.021,0.1,150124
infiltratinglobularcarcinoma,60,0.4708994708994709,LSPIN,mlp,0.021,0.1,150124
other,23,0.5405405405405406,LSPIN,mlp,0.021,0.1,150124
infiltratingductalcarcinoma,220,0.5918166939443535,LSPIN,mlp,0.021,0.1,150125
infiltratinglobularcarcinoma,60,0.7724867724867724,LSPIN,mlp,0.021,0.1,150125
other,23,0.5945945945945946,LSPIN,mlp,0.021,0.1,150125
infiltratingductalcarcinoma,220,0.6471358428805237,LSPIN,mlp,0.021,0.1,150126
infiltratinglobularcarcinoma,60,0.582010582010582,LSPIN,mlp,0.021,0.1,150126
other,23,0.4324324324324324,LSPIN,mlp,0.021,0.1,150126
infiltratingductalcarcinoma,220,0.5777414075286416,LSPIN,mlp,0.021,0.1,150127
infiltratinglobularcarcinoma,60,0.4973544973544973,LSPIN,mlp,0.021,0.1,150127
other,23,0.4864864864864865,LSPIN,mlp,0.021,0.1,150127
infiltratingductalcarcinoma,220,0.5793780687397708,LSPIN,mlp,0.028,0.1,160123
infiltratinglobularcarcinoma,60,0.5925925925925926,LSPIN,mlp,0.028,0.1,160123
other,23,0.6216216216216216,LSPIN,mlp,0.028,0.1,160123
infiltratingductalcarcinoma,220,0.6494271685761047,LSPIN,mlp,0.028,0.1,160124
infiltratinglobularcarcinoma,60,0.5767195767195767,LSPIN,mlp,0.028,0.1,160124
other,23,0.4324324324324324,LSPIN,mlp,0.028,0.1,160124
infiltratingductalcarcinoma,220,0.6088379705400983,LSPIN,mlp,0.028,0.1,160125
infiltratinglobularcarcinoma,60,0.4285714285714285,LSPIN,mlp,0.028,0.1,160125
other,23,0.4864864864864865,LSPIN,mlp,0.028,0.1,160125
infiltratingductalcarcinoma,220,0.5011456628477905,LSPIN,mlp,0.028,0.1,160126
infiltratinglobularcarcinoma,60,0.4814814814814814,LSPIN,mlp,0.028,0.1,160126
other,23,0.5675675675675675,LSPIN,mlp,0.028,0.1,160126
infiltratingductalcarcinoma,220,0.6343698854337152,LSPIN,mlp,0.028,0.1,160127
infiltratinglobularcarcinoma,60,0.6666666666666666,LSPIN,mlp,0.028,0.1,160127
other,23,0.4594594594594595,LSPIN,mlp,0.028,0.1,160127
infiltratingductalcarcinoma,220,0.5967266775777414,LSPIN,mlp,0.0035,0.2,170123
infiltratinglobularcarcinoma,60,0.5079365079365079,LSPIN,mlp,0.0035,0.2,170123
other,23,0.5135135135135135,LSPIN,mlp,0.0035,0.2,170123
infiltratingductalcarcinoma,220,0.6,LSPIN,mlp,0.0035,0.2,170124
infiltratinglobularcarcinoma,60,0.7248677248677249,LSPIN,mlp,0.0035,0.2,170124
other,23,0.5405405405405406,LSPIN,mlp,0.0035,0.2,170124
infiltratingductalcarcinoma,220,0.6432078559738135,LSPIN,mlp,0.0035,0.2,170125
infiltratinglobularcarcinoma,60,0.6666666666666666,LSPIN,mlp,0.0035,0.2,170125
other,23,0.5405405405405406,LSPIN,mlp,0.0035,0.2,170125
infiltratingductalcarcinoma,220,0.6405891980360066,LSPIN,mlp,0.0035,0.2,170126
infiltratinglobularcarcinoma,60,0.5661375661375662,LSPIN,mlp,0.0035,0.2,170126
other,23,0.5675675675675675,LSPIN,mlp,0.0035,0.2,170126
infiltratingductalcarcinoma,220,0.6654664484451719,LSPIN,mlp,0.0035,0.2,170127
infiltratinglobularcarcinoma,60,0.5555555555555556,LSPIN,mlp,0.0035,0.2,170127
other,23,0.5135135135135135,LSPIN,mlp,0.0035,0.2,170127
infiltratingductalcarcinoma,220,0.6540098199672668,LSPIN,mlp,0.00525,0.2,180123
infiltratinglobularcarcinoma,60,0.6455026455026455,LSPIN,mlp,0.00525,0.2,180123
other,23,0.5945945945945946,LSPIN,mlp,0.00525,0.2,180123
infiltratingductalcarcinoma,220,0.5698854337152209,LSPIN,mlp,0.00525,0.2,180124
infiltratinglobularcarcinoma,60,0.656084656084656,LSPIN,mlp,0.00525,0.2,180124
other,23,0.5675675675675675,LSPIN,mlp,0.00525,0.2,180124
infiltratingductalcarcinoma,220,0.5659574468085107,LSPIN,mlp,0.00525,0.2,180125
infiltratinglobularcarcinoma,60,0.6031746031746031,LSPIN,mlp,0.00525,0.2,180125
other,23,0.6216216216216216,LSPIN,mlp,0.00525,0.2,180125
infiltratingductalcarcinoma,220,0.6513911620294599,LSPIN,mlp,0.00525,0.2,180126
infiltratinglobularcarcinoma,60,0.6084656084656085,LSPIN,mlp,0.00525,0.2,180126
other,23,0.5675675675675675,LSPIN,mlp,0.00525,0.2,180126
infiltratingductalcarcinoma,220,0.6147299509001637,LSPIN,mlp,0.00525,0.2,180127
infiltratinglobularcarcinoma,60,0.5661375661375662,LSPIN,mlp,0.00525,0.2,180127
other,23,0.5945945945945946,LSPIN,mlp,0.00525,0.2,180127
infiltratingductalcarcinoma,220,0.6068739770867431,LSPIN,mlp,0.007,0.2,190123
infiltratinglobularcarcinoma,60,0.6455026455026455,LSPIN,mlp,0.007,0.2,190123
other,23,0.5675675675675675,LSPIN,mlp,0.007,0.2,190123
infiltratingductalcarcinoma,220,0.6585924713584288,LSPIN,mlp,0.007,0.2,190124
infiltratinglobularcarcinoma,60,0.5608465608465608,LSPIN,mlp,0.007,0.2,190124
other,23,0.5135135135135135,LSPIN,mlp,0.007,0.2,190124
infiltratingductalcarcinoma,220,0.5545008183306056,LSPIN,mlp,0.007,0.2,190125
infiltratinglobularcarcinoma,60,0.544973544973545,LSPIN,mlp,0.007,0.2,190125
other,23,0.5405405405405406,LSPIN,mlp,0.007,0.2,190125
infiltratingductalcarcinoma,220,0.6618657937806874,LSPIN,mlp,0.007,0.2,190126
infiltratinglobularcarcinoma,60,0.4973544973544973,LSPIN,mlp,0.007,0.2,190126
other,23,0.7297297297297297,LSPIN,mlp,0.007,0.2,190126
infiltratingductalcarcinoma,220,0.639607201309329,LSPIN,mlp,0.007,0.2,190127
infiltratinglobularcarcinoma,60,0.5661375661375662,LSPIN,mlp,0.007,0.2,190127
other,23,0.6216216216216216,LSPIN,mlp,0.007,0.2,190127
infiltratingductalcarcinoma,220,0.5764320785597381,LSPIN,mlp,0.00875,0.2,200123
infiltratinglobularcarcinoma,60,0.6772486772486772,LSPIN,mlp,0.00875,0.2,200123
other,23,0.4594594594594595,LSPIN,mlp,0.00875,0.2,200123
infiltratingductalcarcinoma,220,0.6265139116202946,LSPIN,mlp,0.00875,0.2,200124
infiltratinglobularcarcinoma,60,0.4708994708994709,LSPIN,mlp,0.00875,0.2,200124
other,23,0.5945945945945946,LSPIN,mlp,0.00875,0.2,200124
infiltratingductalcarcinoma,220,0.676595744680851,LSPIN,mlp,0.00875,0.2,200125
infiltratinglobularcarcinoma,60,0.5978835978835979,LSPIN,mlp,0.00875,0.2,200125
other,23,0.8378378378378378,LSPIN,mlp,0.00875,0.2,200125
infiltratingductalcarcinoma,220,0.563011456628478,LSPIN,mlp,0.00875,0.2,200126
infiltratinglobularcarcinoma,60,0.4973544973544973,LSPIN,mlp,0.00875,0.2,200126
other,23,0.5945945945945946,LSPIN,mlp,0.00875,0.2,200126
infiltratingductalcarcinoma,220,0.6477905073649755,LSPIN,mlp,0.00875,0.2,200127
infiltratinglobularcarcinoma,60,0.5132275132275133,LSPIN,mlp,0.00875,0.2,200127
other,23,0.5675675675675675,LSPIN,mlp,0.00875,0.2,200127
infiltratingductalcarcinoma,220,0.676923076923077,LSPIN,mlp,0.0105,0.2,210123
infiltratinglobularcarcinoma,60,0.6507936507936508,LSPIN,mlp,0.0105,0.2,210123
other,23,0.5135135135135135,LSPIN,mlp,0.0105,0.2,210123
infiltratingductalcarcinoma,220,0.6062193126022913,LSPIN,mlp,0.0105,0.2,210124
infiltratinglobularcarcinoma,60,0.4761904761904761,LSPIN,mlp,0.0105,0.2,210124
other,23,0.5135135135135135,LSPIN,mlp,0.0105,0.2,210124
infiltratingductalcarcinoma,220,0.6058919803600654,LSPIN,mlp,0.0105,0.2,210125
infiltratinglobularcarcinoma,60,0.5396825396825397,LSPIN,mlp,0.0105,0.2,210125
other,23,0.5945945945945946,LSPIN,mlp,0.0105,0.2,210125
infiltratingductalcarcinoma,220,0.5414075286415712,LSPIN,mlp,0.0105,0.2,210126
infiltratinglobularcarcinoma,60,0.5925925925925926,LSPIN,mlp,0.0105,0.2,210126
other,23,0.5135135135135135,LSPIN,mlp,0.0105,0.2,210126
infiltratingductalcarcinoma,220,0.5774140752864158,LSPIN,mlp,0.0105,0.2,210127
infiltratinglobularcarcinoma,60,0.5291005291005291,LSPIN,mlp,0.0105,0.2,210127
other,23,0.5675675675675675,LSPIN,mlp,0.0105,0.2,210127
