model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,0.12,0.00525,0.4,0,2,0.8639561920376057
LSPIN,lspin_tf,0.12,0.00525,0.4,1,2,0.7493745996199008
L-LSPIN,lspin_tf,0.15,0.021,0.4,0,1,0.8623252011984537
L-LSPIN,lspin_tf,0.15,0.021,0.4,0,2,0.8413044703236049
L-LSPIN,lspin_tf,0.15,0.021,0.4,1,2,0.8812428960109274
L-LSPIN,lspin_tf,0.15,0.014,0.4,0,1,0.7828965214954284
L-LSPIN,lspin_tf,0.15,0.014,0.4,0,2,0.7387656756000403
L-LSPIN,lspin_tf,0.15,0.014,0.4,1,2,0.8101591340567637
L-LSPIN,lspin_tf,0.15,0.0105,0.4,0,1,0.6674967882796591
L-LSPIN,lspin_tf,0.15,0.0105,0.4,0,2,0.7605692016372041
L-LSPIN,lspin_tf,0.15,0.0105,0.4,1,2,0.8616101716347779
L-LSPIN,lspin_tf,0.15,0.00875,0.4,0,1,0.8460894756963162
L-LSPIN,lspin_tf,0.15,0.00875,0.4,0,2,0.8367258766815517
L-LSPIN,lspin_tf,0.15,0.00875,0.4,1,2,0.7638893736262408
L-LSPIN,lspin_tf,0.15,0.007,0.4,0,1,0.8189319250123931
L-LSPIN,lspin_tf,0.15,0.007,0.4,0,2,0.9507976789214424
L-LSPIN,lspin_tf,0.15,0.007,0.4,1,2,0.8501131085743153
L-LSPIN,lspin_tf,0.12,0.021,0.4,0,1,0.6912556614033473
L-LSPIN,lspin_tf,0.12,0.021,0.4,0,2,0.7348061345334298
L-LSPIN,lspin_tf,0.12,0.021,0.4,1,2,0.7650957489617262
L-LSPIN,lspin_tf,0.12,0.014,0.4,0,1,0.8323149612771976
L-LSPIN,lspin_tf,0.12,0.014,0.4,0,2,0.8734938000639434
L-LSPIN,lspin_tf,0.12,0.014,0.4,1,2,0.8080536749577008
L-LSPIN,lspin_tf,0.12,0.0105,0.4,0,1,0.8629384788315632
L-LSPIN,lspin_tf,0.12,0.0105,0.4,0,2,0.8344355119223469
L-LSPIN,lspin_tf,0.12,0.0105,0.4,1,2,0.8628577118157337
L-LSPIN,lspin_tf,0.12,0.00875,0.4,0,1,0.8379820930172555
L-LSPIN,lspin_tf,0.12,0.00875,0.4,0,2,0.8901106769738691
L-LSPIN,lspin_tf,0.12,0.00875,0.4,1,2,0.7572498629879207
L-LSPIN,lspin_tf,0.12,0.007,0.4,0,1,0.929582494187288
L-LSPIN,lspin_tf,0.12,0.007,0.4,0,2,0.9091078376610388
L-LSPIN,lspin_tf,0.12,0.007,0.4,1,2,0.9257852084774824
Concrete,concrete,0.15,0.0055,0.4,0,1,0.8516521106515127
Concrete,concrete,0.15,0.0055,0.4,0,2,0.8862275278155495
Concrete,concrete,0.15,0.0055,0.4,1,2,0.8578724273078858
Concrete,concrete,0.15,0.0044,0.4,0,1,0.8551318728735704
Concrete,concrete,0.15,0.0044,0.4,0,2,0.8282688726711598
Concrete,concrete,0.15,0.0044,0.4,1,2,0.7958877512419495
Concrete,concrete,0.15,0.0033,0.4,0,1,0.7409231503747101
Concrete,concrete,0.15,0.0033,0.4,0,2,0.7155557364588309
Concrete,concrete,0.15,0.0033,0.4,1,2,0.8008416268098161
